Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
KSW 93: Paris,"Michal Martínek , Prince Aounallah",Michal Martínek,,,-155,0,,,-150,0,,,,,,,,,,,,,,,,,,
KSW 93: Paris,"Michal Martínek , Prince Aounallah",Prince Aounallah,,,116,-1,,,110,0,,,,,,,,,,,,,,,,,,
KSW 93: Paris,"Aymard Guih , Sebastian Rajewski",Aymard Guih,,,140,0,,,140,0,,,,,,,,,,,,,,,,,,
KSW 93: Paris,"Aymard Guih , Sebastian Rajewski",Sebastian Rajewski,,,-185,0,,,-188,0,,,,,,,,,,,,,,,,,,
KSW 93: Paris,"Artur Szczepaniak , Madars Fleminas",Artur Szczepaniak,,,-260,-1,,,-250,0,,,,,,,,,,,,,,,,,,
KSW 93: Paris,"Artur Szczepaniak , Madars Fleminas",Madars Fleminas,,,190,1,,,175,0,,,,,,,,,,,,,,,,,,
UFC Fight Night 240: Allen vs. Curtis 2,"Morgan Charriere , Jose Mariscal",Morgan Charriere,-145,-1,-130,1,-138,-1,-138,-1,-140,-1,-145,-1,,,,,-135,-1,-137,0,-135,-1,-130,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Morgan Charriere , Jose Mariscal",Jose Mariscal,125,1,109,-1,120,1,110,1,110,1,115,1,,,,,122,1,112,0,114,1,102,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Jean Matsumoto , Dan Argueta",Jean Matsumoto,-205,1,-210,1,-200,0,-225,0,-220,1,-205,1,,,,,-195,0,-215,0,-205,0,-220,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Jean Matsumoto , Dan Argueta",Dan Argueta,175,-1,170,-1,170,0,163,0,160,-1,170,-1,,,,,173,0,170,0,170,0,168,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Josh Van , Lucas Rocha",Josh Van,-350,0,-325,1,,,,,,,,,,,,,,,-375,0,-345,0,-360,1,,
